,City Name,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
0,Mar del Plata,99,AR,1562653454,73,-46.43,-67.52,43.78,6.67
1,Pemba,75,MZ,1562653455,83,-12.97,40.52,73.4,9.17
2,Aksarayskiy,0,RU,1562653457,42,46.79,48.01,84.2,15.66
3,San Cristobal,98,HN,1562653458,95,14.68,-86.92,66.46,3.31
4,Arkhangelsk,20,RU,1562653242,76,64.54,40.54,51.8,8.95
5,Albany,1,US,1562653260,72,42.65,-73.75,66.0,3.71
6,Punta Arenas,90,CL,1562653462,93,-53.16,-70.91,39.2,4.7
7,Rincon,100,PA,1562653463,67,8.46,-82.28,57.0,5.01
8,New Norfolk,75,AU,1562653465,54,-42.78,147.06,55.4,5.82
9,Pevek,75,RU,1562653466,65,69.7,170.27,51.16,15.88
10,Concordia,100,AR,1562653468,77,-31.4,-58.02,50.0,7.0
11,Yellowknife,75,CA,1562653469,71,62.45,-114.38,50.0,5.82
12,Naze,100,NG,1562653470,97,5.43,7.07,70.96,5.08
13,Hualmay,85,PE,1562653472,86,-11.1,-77.61,62.68,16.84
14,Dingle,30,PH,1562653473,76,11.0,122.67,85.54,9.73
15,Rikitea,12,PF,1562653474,85,-23.12,-134.97,72.94,26.11
16,Chuy,100,UY,1562653476,71,-33.69,-53.46,47.74,5.68
17,Victoria,75,BN,1562653286,70,5.28,115.24,89.6,3.36
18,Ponta do Sol,0,BR,1562653478,88,-20.63,-46.0,48.46,3.76
19,Kapaa,90,US,1562653480,88,22.08,-159.32,78.8,16.11
20,Ribeira Grande,20,PT,1562653481,94,38.52,-28.7,68.0,5.82
21,Atuona,7,PF,1562653482,74,-9.8,-139.03,80.32,15.48
22,Tuktoyaktuk,20,CA,1562653483,81,69.44,-133.03,50.0,9.17
23,Iqaluit,75,CA,1562653485,81,63.75,-68.52,51.8,8.05
24,Cape Town,90,ZA,1562653486,100,-33.93,18.42,57.0,2.24
25,Geraldton,75,CA,1562653488,63,49.72,-86.95,62.6,8.05
26,Port Elizabeth,1,US,1562653489,100,39.31,-74.98,71.01,0.96
27,Avarua,0,CK,1562653491,88,-21.21,-159.78,69.8,3.36
28,Bredasdorp,6,ZA,1562653492,87,-34.53,20.04,51.8,8.05
29,Portland,1,US,1562653493,77,43.66,-70.25,63.0,4.7
30,Ilulissat,98,GL,1562653495,65,69.22,-51.1,46.4,10.76
31,Awbari,0,LY,1562653496,13,26.59,12.77,83.2,9.42
32,Panguna,95,PG,1562653497,75,-6.32,155.48,82.66,15.82
33,Pochinki,100,RU,1562653499,97,54.7,44.85,59.26,11.3
34,Mataura,100,NZ,1562653500,92,-46.19,168.86,48.99,10.0
35,Saint-Philippe,1,CA,1562653501,93,45.36,-73.48,66.2,3.36
36,Thompson,75,CA,1562653503,77,55.74,-97.86,62.6,8.05
37,Jhang,75,PK,1562653504,55,33.67,72.7,93.0,10.29
38,Port-Gentil,75,GA,1562653506,100,-0.72,8.78,71.6,2.24
39,Constitucion,100,MX,1562653508,81,23.99,-104.67,62.01,4.0
40,Saint-Joseph,0,FR,1562653509,64,43.56,6.97,79.0,2.24
41,Georgetown,20,GY,1562653510,100,6.8,-58.16,73.4,4.7
42,Hobyo,39,SO,1562653512,48,5.35,48.53,87.16,22.37
43,Haines Junction,49,CA,1562653513,52,60.75,-137.51,59.98,3.47
44,Novo Aripuana,16,BR,1562653514,90,-5.12,-60.38,71.5,2.55
45,Lompoc,90,US,1562653218,87,34.64,-120.46,57.99,6.93
46,Qaanaaq,95,GL,1562653517,89,77.48,-69.36,38.02,2.19
47,Terme,40,TR,1562653518,69,41.21,36.97,77.0,13.87
48,Urozhaynoye,61,RU,1562653520,82,47.7,142.03,51.88,23.53
49,Nome,1,US,1562653521,94,30.04,-94.42,82.99,3.36
50,Severo-Kurilsk,100,RU,1562653522,96,50.68,156.12,42.34,1.66
51,Rafai,100,CF,1562653524,92,4.95,23.92,70.78,2.51
52,Beringovskiy,91,RU,1562653525,44,63.05,179.32,63.94,4.38
53,Huangzhai,100,CN,1562653527,85,23.86,112.01,84.28,5.86
54,Mahebourg,40,MU,1562653528,74,-20.41,57.7,78.8,4.7
55,Alice Springs,0,AU,1562653529,12,-23.7,133.88,71.6,9.17
56,Verkhnevilyuysk,100,RU,1562653531,53,63.45,120.31,78.16,4.36
57,Ushuaia,0,AR,1562653532,93,-54.81,-68.31,35.6,0.51
